,name,position,year_end,smallname
9,Alex Abrines,G-F,2018,A. Abrines
14,Quincy Acy,F,2018,Q. Acy
21,Steven Adams,C,2018,S. Adams
23,Bam Adebayo,C-F,2018,B. Adebayo
26,Arron Afflalo,G,2018,A. Afflalo
32,Alexis Ajinca,C,2017,A. Ajinca
39,Cole Aldrich,C,2018,C. Aldrich
40,LaMarcus Aldridge,F-C,2018,L. Aldridge
51,Jarrett Allen,F-C,2018,J. Allen
53,Kadeem Allen,G,2018,K. Allen
54,Lavoy Allen,F-C,2017,L. Allen
59,Tony Allen,G-F,2018,T. Allen
70,Al-Farouq Aminu,F,2018,A. Aminu
73,Chris Andersen,F-C,2017,C. Andersen
75,Alan Anderson,G-F,2017,A. Anderson
88,Justin Anderson,G,2018,J. Anderson
91,Kyle Anderson,F-G,2018,K. Anderson
96,Ryan Anderson,F,2018,R. Anderson
102,Ike Anigbogu,F-C,2018,I. Anigbogu
105,Giannis Antetokounmpo,F-G,2018,G. Antetokounmpo
107,Carmelo Anthony,F,2018,C. Anthony
109,Joel Anthony,C,2017,J. Anthony
111,OG Anunoby,F,2018,O. Anunoby
117,Ryan Arcidiacono,G,2018,R. Arcidiacono
120,Trevor Ariza,F,2018,T. Ariza
134,Darrell Arthur,F,2018,D. Arthur
136,Jamel Artis,G-F,2018,J. Artis
137,Omer Asik,C,2018,O. Asik
146,D.J. Augustin,G,2018,D. Augustin
159,Luke Babbitt,F,2018,L. Babbitt
162,Dwayne Bacon,G,2018,D. Bacon
177,Ron Baker,G,2018,R. Baker
179,Wade Baldwin,G,2017,W. Baldwin
182,Lonzo Ball,G,2018,L. Ball
191,Leandro Barbosa,G,2017,L. Barbosa
193,J.J. Barea,G,2018,J. Barea
200,Harrison Barnes,F,2018,H. Barnes
204,Matt Barnes,F,2017,M. Barnes
225,Will Barton,G,2018,W. Barton
228,Brandon Bass,F,2017,B. Bass
241,Nicolas Batum,F-G,2018,N. Batum
245,Jerryd Bayless,G,2018,J. Bayless
248,Aron Baynes,C,2018,A. Baynes
250,Kent Bazemore,G-F,2018,K. Bazemore
252,Bradley Beal,G,2018,B. Beal
259,Malik Beasley,G,2018,M. Beasley
260,Michael Beasley,F,2018,M. Beasley
273,Marco Belinelli,G-F,2018,M. Belinelli
276,Jordan Bell,F,2018,J. Bell
281,DeAndre' Bembry,F,2018,D. Bembry
284,Dragan Bender,F,2018,D. Bender
289,Anthony Bennett,F,2017,A. Bennett
299,Ben Bentil,F,2017,B. Bentil
305,Davis Bertans,F,2018,D. Bertans
308,Patrick Beverley,G,2018,P. Beverley
323,Khem Birch,C-F,2018,K. Birch
324,Jabari Bird,G,2018,J. Bird
329,Bismack Biyombo,C-F,2018,B. Biyombo
330,Nemanja Bjelica,F,2018,N. Bjelica
334,Tarik Black,C-F,2018,T. Black
343,Antonio Blakeney,G,2018,A. Blakeney
350,Eric Bledsoe,G,2018,E. Bledsoe
356,Vander Blue,G,2018,V. Blue
363,Bogdan Bogdanovic,G,2018,B. Bogdanovic
364,Bojan Bogdanovic,G-F,2018,B. Bogdanovic
366,Andrew Bogut,C,2018,A. Bogut
370,Joel Bolomboy,F,2018,J. Bolomboy
380,Devin Booker,G,2018,D. Booker
382,Trevor Booker,F,2018,T. Booker
422,Avery Bradley,G,2018,A. Bradley
431,Tony Bradley,F-C,2018,T. Bradley
450,Corey Brewer,F-G,2018,C. Brewer
470,Malcolm Brogdon,G,2018,M. Brogdon
474,Aaron Brooks,G,2018,A. Brooks
475,Dillon Brooks,G-F,2018,D. Brooks
481,Anthony Brown,F-G,2017,A. Brown
483,Bobby Brown,G,2018,B. Brown
497,Jaylen Brown,F-G,2018,J. Brown
